order_id,order_date,customer_id,customer_name,customer_email,ordered_products,order_quantity,quantity,price,status
1000,2025-05-29,5,Maxwell,maxwell@example.com,Camera,1,2,2651.24,Cancelled
1001,2025-02-06,4,Mark,mark@example.com,Smartwatch,1,1,596.94,Refunded
1002,2025-03-01,3,Bob,bob@example.com,Tablet,1,1,1092.04,Cancelled
1003,2025-04-09,4,Mark,mark@example.com,Tablet,1,3,3979.59,Delivered
1004,2025-03-04,4,Mark,mark@example.com,Camera,1,2,862.18,Delivered
1005,2025-05-09,1,John,john@example.com,Camera,1,2,1246.54,Returned
1006,2025-01-26,3,Bob,bob@example.com,Laptop,1,2,1826.22,Delivered
1007,2025-08-17,1,John,john@example.com,Camera,1,1,1258.37,Cancelled
1008,2025-06-03,4,Mark,mark@example.com,Tablet,1,2,3213.26,Cancelled
1009,2025-05-05,5,Maxwell,maxwell@example.com,Smartwatch,1,3,3972.45,Delivered
1010,2025-02-21,5,Maxwell,maxwell@example.com,Monitor,1,3,2121,Returned
1011,2025-07-28,4,Mark,mark@example.com,Smartphone,1,2,1461.5,Delivered
1012,2025-01-15,2,Alice,alice@example.com,Laptop,1,3,2250.99,Refunded
1013,2025-05-20,3,Bob,bob@example.com,Smartphone,1,5,9765.65,Delivered
1014,2025-02-20,4,Mark,mark@example.com,Smartphone,1,2,319.36,Returned
1015,2025-08-07,1,John,john@example.com,Smartphone,1,1,1094.77,Delivered
1016,2025-08-10,4,Mark,mark@example.com,Headphones,1,4,1694.64,In Progress
1017,2025-08-20,5,Maxwell,maxwell@example.com,Smartphone,1,4,7515.52,Refunded
1018,2025-06-30,5,Maxwell,maxwell@example.com,Monitor,1,5,5346.2,Delivered
1019,2025-08-12,3,Bob,bob@example.com,Smartphone,1,4,1854.88,Refunded
1020,2025-04-21,2,Alice,alice@example.com,Smartwatch,1,5,1849.65,Refunded
1021,2025-02-23,2,Alice,alice@example.com,Headphones,1,1,739.55,Returned
1022,2025-02-07,1,John,john@example.com,Camera,1,3,1363.41,Delivered
1023,2025-01-03,4,Mark,mark@example.com,Smartwatch,1,4,4470.52,Refunded
1024,2025-08-28,1,John,john@example.com,Monitor,1,5,3696.25,Returned
1025,2025-02-03,5,Maxwell,maxwell@example.com,Headphones,1,5,8319.5,Delivered
1026,2025-08-02,3,Bob,bob@example.com,Laptop,1,3,871.14,In Progress
1027,2025-02-03,5,Maxwell,maxwell@example.com,Headphones,1,5,1546.1,Delivered
1028,2025-06-05,4,Mark,mark@example.com,Headphones,1,3,5450.16,Refunded
1029,2025-02-14,4,Mark,mark@example.com,Tablet,1,2,3429.68,Refunded
1030,2025-01-26,4,Mark,mark@example.com,Camera,1,5,2385.95,Cancelled
1031,2025-06-14,4,Mark,mark@example.com,Headphones,1,1,481.36,In Progress
